YEAR,MO,DY,YB,HR,,ROOM-T,CLOD-S,RHEX-S,AHEX-S,FS,ROOM-H,CLOD-L,RHEX-L,AHEX-L,FL,MRT'
   0, 1, 1,8, 1,0, 27.05, -20.4,   0.0,   0.0, 9,  6.80,   0.0,   0.0,   0.0, 9, 26.66
   0, 1, 1,8, 2,0, 26.38, -21.4,   0.0,   0.0, 9,  6.80,   0.0,   0.0,   0.0, 9, 26.09
   0, 1, 1,8, 3,0, 25.83, -22.4,   0.0,   0.0, 9,  6.80,   0.0,   0.0,   0.0, 9, 25.57
   0, 1, 1,8, 4,0, 25.36, -23.6,   0.0,   0.0, 9,  6.80,   0.0,   0.0,   0.0, 9, 25.13
   0, 1, 1,8, 5,0, 24.95, -24.7,   0.0,   0.0, 9,  6.80,   0.0,   0.0,   0.0, 9, 24.75
   0, 1, 1,8, 6,0, 24.60, -25.9,   0.0,   0.0, 9,  6.80,   0.0,   0.0,   0.0, 9, 24.42
   0, 1, 1,8, 7,0, 24.29, -27.1,   0.0,   0.0, 9,  6.80,   0.0,   0.0,   0.0, 9, 24.13
   0, 1, 1,8, 8,0, 24.02, -28.1,   0.0,   0.0, 9,  6.80,   0.0,   0.0,   0.0, 9, 23.88
   0, 1, 1,8, 9,0, 23.71,  43.9,  74.5,  74.5,10,  6.66,   0.9,   3.5,   3.5,10, 26.13
   0, 1, 1,8,10,0, 25.60, 116.3, 100.0, 100.0,10,  6.66,   1.7,   2.1,   2.1,10, 29.28
   0, 1, 1,8,11,0, 25.64, 116.1, 106.4, 100.0,10,  6.66,   1.7,   1.7,  -1.1,10, 29.37
   0, 1, 1,8,12,0, 25.81, 115.7, 106.3, 100.0,10,  6.66,   1.7,   1.7,  -1.1,10, 29.54
   0, 1, 1,8,13,0, 27.09, 141.5, 106.8, 100.0,10,  6.66,   1.7,   1.7,  -0.9,10, 31.02
   0, 1, 1,8,14,0, 28.60, 167.6, 107.5, 100.0,10,  6.66,   1.7,   1.7,  -0.5,10, 32.66
   0, 1, 1,8,15,0, 29.15, 167.4, 107.8, 100.0,10,  6.66,   1.7,   1.7,  -0.3,10, 33.12
   0, 1, 1,8,16,0, 28.71, 147.4, 107.8, 100.0,10,  6.66,   1.5,   1.5,  -0.3,10, 32.50
   0, 1, 1,8,17,0, 27.99, 127.2, 107.6, 100.0,10,  6.66,   1.4,   1.4,  -0.4,10, 31.64
   0, 1, 1,8,18,0, 27.92, 126.9, 107.3, 100.0,10,  6.66,   1.4,   1.4,  -0.4,10, 31.59
   0, 1, 1,8,19,0, 27.86, 126.5, 107.0, 100.0,10,  6.66,   1.4,   1.4,  -0.5,10, 31.53
   0, 1, 1,8,20,0, 27.82, 126.2, 106.8, 100.0,10,  6.66,   1.4,   1.4,  -0.7,10, 31.48
   0, 1, 1,8,21,0, 32.54, 126.0,   0.0,   0.0, 9,  6.73,   1.4,   0.0,   0.0, 9, 33.34
   0, 1, 1,8,22,0, 31.41,  76.1,   0.0,   0.0, 9,  6.77,   0.9,   0.0,   0.0, 9, 31.53
