YEAR,MO,DY,YB,HR,,ROOM-T,CLOD-S,RHEX-S,AHEX-S,FS,ROOM-H,CLOD-L,RHEX-L,AHEX-L,FL,MRT'
   0, 1, 1,8, 1,0, 22.68, -22.2,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 22.00
   0, 1, 1,8, 2,0, 21.56, -23.3,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 20.90
   0, 1, 1,8, 3,0, 20.80, -24.5,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 20.20
   0, 1, 1,8, 4,0, 20.23, -25.6,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 19.71
   0, 1, 1,8, 5,0, 19.77, -26.8,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 19.32
   0, 1, 1,8, 6,0, 19.37, -28.0,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 18.98
   0, 1, 1,8, 7,0, 19.01, -29.1,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 18.66
   0, 1, 1,8, 8,0, 18.68, -30.2,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 18.36
   0, 1, 1,8, 9,0, 22.00,  20.9,  -3.8,  -3.8,10,  6.66,   0.5,   1.9,   1.9,10, 22.66
   0, 1, 1,8,10,0, 22.00,  72.6,  74.8,  74.8,10,  6.66,   0.9,   1.1,   1.1,10, 27.27
   0, 1, 1,8,11,0, 22.00,  72.8,  76.8,  73.7,10,  6.66,   0.9,   1.0,  -0.8,10, 27.30
   0, 1, 1,8,12,0, 22.00,  72.8,  77.1,  74.1,10,  6.66,   0.9,   0.9,  -0.8,10, 27.26
   0, 1, 1,8,13,0, 22.00,  72.8,  77.3,  74.3,10,  6.66,   0.9,   0.9,  -0.6,10, 27.23
   0, 1, 1,8,14,0, 22.00,  72.8,  77.5,  74.3,10,  6.66,   0.9,   0.9,  -0.4,10, 27.21
   0, 1, 1,8,15,0, 22.00,  72.8,  77.7,  74.4,10,  6.66,   0.9,   0.9,  -0.3,10, 27.20
   0, 1, 1,8,16,0, 22.00,  62.4,  67.3,  64.0,10,  6.66,   0.8,   0.8,  -0.3,10, 26.50
   0, 1, 1,8,17,0, 22.00,  51.8,  56.8,  53.5,10,  6.66,   0.7,   0.7,  -0.3,10, 25.79
