YEAR,MO,DY,YB,HR,,ROOM-T,CLOD-S,RHEX-S,AHEX-S,FS,ROOM-H,CLOD-L,RHEX-L,AHEX-L,FL,MRT'
   0, 1, 1,8, 1,0, 32.30,   6.7,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 31.86
   0, 1, 1,8, 2,0, 31.59,   6.3,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 31.16
   0, 1, 1,8, 3,0, 31.04,   5.9,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 30.60
   0, 1, 1,8, 4,0, 30.61,   5.5,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 30.19
   0, 1, 1,8, 5,0, 30.28,   5.1,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 29.90
   0, 1, 1,8, 6,0, 30.01,   4.8,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 29.68
   0, 1, 1,8, 7,0, 29.80,   4.4,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 29.51
   0, 1, 1,8, 8,0, 29.63,   4.1,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 29.38
   0, 1, 1,8, 9,0, 25.79,  56.3, 100.0, 100.0,10,  6.66,   0.5,   1.9,   1.9,10, 32.85
   0, 1, 1,8,10,0, 28.26, 108.7, 100.0, 100.0,10,  6.66,   0.9,   1.1,   1.1,10, 37.48
   0, 1, 1,8,11,0, 28.54, 109.0, 102.2, 100.0,10,  6.66,   0.9,   1.0,   0.1,10, 37.66
   0, 1, 1,8,12,0, 28.82, 109.2, 102.2, 100.0,10,  6.66,   0.9,   0.9,   0.1,10, 38.02
   0, 1, 1,8,13,0, 29.03, 109.2, 102.3, 100.0,10,  6.66,   0.9,   0.9,   0.1,10, 38.26
   0, 1, 1,8,14,0, 29.19, 109.3, 102.3, 100.0,10,  6.66,   0.9,   0.9,   0.3,10, 38.42
   0, 1, 1,8,15,0, 29.31, 109.4, 102.4, 100.0,10,  6.66,   0.9,   0.9,   0.3,10, 38.54
   0, 1, 1,8,16,0, 28.61,  99.1, 102.3, 100.0,10,  6.66,   0.8,   0.8,   0.3,10, 37.46
   0, 1, 1,8,17,0, 27.56,  88.7, 102.2, 100.0,10,  6.66,   0.7,   0.7,   0.2,10, 36.11
   0, 1, 1,8,18,0, 27.06,  88.8, 102.1, 100.0,10,  6.66,   0.7,   0.7,   0.2,10, 35.68
   0, 1, 1,8,19,0, 26.68,  89.0, 102.0, 100.0,10,  6.66,   0.7,   0.7,   0.2,10, 35.35
   0, 1, 1,8,20,0, 26.41,  89.1, 101.9, 100.0,10,  6.66,   0.7,   0.7,   0.1,10, 35.12
   0, 1, 1,8,21,0, 34.10,  89.2,   0.0,   0.0, 9,  6.70,   0.7,   0.0,   0.0, 9, 37.30
   0, 1, 1,8,22,0, 35.13,  63.1,   0.0,   0.0, 9,  6.72,   0.5,   0.0,   0.0, 9, 36.77
   0, 1, 1,8,23,0, 34.60,  36.9,   0.0,   0.0, 9,  6.73,   0.3,   0.0,   0.0, 9, 35.35
   0, 1, 1,8,24,0, 33.69,  21.0,   0.0,   0.0, 9,  6.74,   0.1,   0.0,   0.0, 9, 33.87
   0, 1, 2,8, 1,0, 32.21,   4.9,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 31.79
   0, 1, 2,8, 2,0, 31.51,   4.6,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 31.12
   0, 1, 2,8, 3,0, 30.98,   4.3,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 30.56
   0, 1, 2,8, 4,0, 30.57,   3.9,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 30.17
   0, 1, 2,8, 5,0, 30.24,   3.6,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 29.88
   0, 1, 2,8, 6,0, 29.98,   3.3,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 29.67
   0, 1, 2,8, 7,0, 29.78,   3.0,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 29.50
   0, 1, 2,8, 8,0, 29.62,   2.8,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 29.39
   0, 1, 2,8, 9,0, 25.81,  55.2, 100.0, 100.0,10,  6.66,   0.5,   1.9,   1.9,10, 32.88
   0, 1, 2,8,10,0, 28.29, 107.6, 100.0, 100.0,10,  6.66,   0.9,   1.1,   1.1,10, 37.52
   0, 1, 2,8,11,0, 28.59, 107.9, 102.0, 100.0,10,  6.66,   0.9,   1.0,   0.5,10, 37.71
   0, 1, 2,8,12,0, 28.89, 108.2, 102.0, 100.0,10,  6.66,   0.9,   0.9,   0.6,10, 38.09
   0, 1, 2,8,13,0, 29.13, 108.5, 102.0, 100.0,10,  6.66,   0.9,   0.9,   0.6,10, 38.36
   0, 1, 2,8,14,0, 29.32, 108.7, 102.0, 100.0,10,  6.66,   0.9,   0.9,   0.5,10, 38.55
   0, 1, 2,8,15,0, 29.48, 109.0, 102.0, 100.0,10,  6.66,   0.9,   0.9,   0.5,10, 38.70
   0, 1, 2,8,16,0, 28.81,  98.8, 101.9, 100.0,10,  6.66,   0.8,   0.8,   0.5,10, 37.66
   0, 1, 2,8,17,0, 27.78,  88.5, 101.8, 100.0,10,  6.66,   0.7,   0.7,   0.4,10, 36.33
   0, 1, 2,8,18,0, 27.29,  88.7, 101.8, 100.0,10,  6.66,   0.7,   0.7,   0.4,10, 35.91
   0, 1, 2,8,19,0, 26.93,  88.8, 101.8, 100.0,10,  6.66,   0.7,   0.7,   0.5,10, 35.59
   0, 1, 2,8,20,0, 26.66,  89.0, 101.7, 100.0,10,  6.66,   0.7,   0.7,   0.5,10, 35.37
   0, 1, 2,8,21,0, 34.35,  89.2,   0.0,   0.0, 9,  6.70,   0.7,   0.0,   0.0, 9, 37.55
   0, 1, 2,8,22,0, 35.38,  63.1,   0.0,   0.0, 9,  6.72,   0.5,   0.0,   0.0, 9, 37.03
   0, 1, 2,8,23,0, 34.85,  37.0,   0.0,   0.0, 9,  6.73,   0.3,   0.0,   0.0, 9, 35.61
   0, 1, 2,8,24,0, 33.95,  21.1,   0.0,   0.0, 9,  6.74,   0.1,   0.0,   0.0, 9, 34.14
   0, 1, 3,2, 1,0, 32.48,   5.1,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 32.07
   0, 1, 3,2, 2,0, 31.79,   4.8,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 31.40
   0, 1, 3,2, 3,0, 31.27,   4.6,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 30.86
   0, 1, 3,2, 4,0, 30.87,   4.4,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 30.49
   0, 1, 3,2, 5,0, 30.56,   4.1,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 30.21
   0, 1, 3,2, 6,0, 30.32,   3.8,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 30.01
   0, 1, 3,2, 7,0, 30.13,   3.6,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 29.86
   0, 1, 3,2, 8,0, 29.98,   3.4,   0.0,   0.0, 9,  6.74,   0.0,   0.0,   0.0, 9, 29.75
   0, 1, 3,2, 9,0, 26.16,  55.7, 100.0, 100.0,10,  6.66,   0.5,   1.9,   1.9,10, 33.24
   0, 1, 3,2,10,0, 28.64, 108.1, 100.0, 100.0,10,  6.66,   0.9,   1.1,   1.1,10, 37.88
   0, 1, 3,2,11,0, 28.95, 108.5, 102.1, 100.0,10,  6.66,   0.9,   1.0,   0.2,10, 38.08
   0, 1, 3,2,12,0, 29.26, 108.9, 102.1, 100.0,10,  6.66,   0.9,   0.9,   0.2,10, 38.47
   0, 1, 3,2,13,0, 29.51, 109.3, 102.1, 100.0,10,  6.66,   0.9,   0.9,   0.2,10, 38.75
   0, 1, 3,2,14,0, 29.91, 112.2, 102.1, 100.0,10,  6.66,   0.9,   0.9,   0.3,10, 39.24
   0, 1, 3,2,15,0, 30.35, 114.9, 102.1, 100.0,10,  6.66,   0.9,   0.9,   0.3,10, 39.74
   0, 1, 3,2,16,0, 30.43, 112.6, 102.1, 100.0,10,  6.66,   0.9,   0.9,   0.4,10, 39.71
   0, 1, 3,2,17,0, 30.38, 110.3, 102.1, 100.0,10,  6.66,   0.9,   0.9,   0.4,10, 39.56
   0, 1, 3,2,18,0, 28.41,  84.4, 101.9, 100.0,10,  6.66,   0.7,   0.7,   0.2,10, 36.68
   0, 1, 3,2,19,0, 25.61,  58.4, 101.7, 100.0,10,  6.66,   0.5,   0.5,  -0.1,10, 33.13
   0, 1, 3,2,20,0, 24.20,  58.4, 101.6, 100.0,10,  6.66,   0.5,   0.5,  -0.1,10, 31.93
   0, 1, 3,2,21,0, 29.37,  37.4,   0.0,   0.0, 9,  6.68,   0.3,   0.0,   0.0, 9, 30.94
   0, 1, 3,2,22,0, 29.44,  16.3,   0.0,   0.0, 9,  6.68,   0.1,   0.0,   0.0, 9, 29.88
